City,Country,Latitude,Longitude,Population,DateTime,Weather,Main_Weather,Feels_like,temp,max_temp,min_temp,Wind_Speed
Mashhad,IR,36.3,59.61,"3,208,336",2020-04-26 20:39,Clouds,broken clouds,25.05,27.0,27.0,27.0,2.1
Puebla,MX,18.83,-98.0,"3,194,848",2020-04-26 11:07,Haze,haze,17.97,19.49,22.22,16.0,3.6
Athens,GR,37.98,23.72,"3,153,355",2020-04-26 19:09,Clouds,overcast clouds,16.24,18.43,20.0,17.22,2.6
Dakar,SN,14.69,-17.44,"3,140,442",2020-04-26 16:12,Clear,clear sky,21.43,24.0,24.0,24.0,8.2
Milan,IT,45.46,9.19,"3,140,181",2020-04-26 18:12,Clouds,overcast clouds,20.01,22.01,23.0,21.11,1.5
Kanpur,IN,26.47,80.35,"3,123,990",2020-04-26 21:42,Thunderstorm,thunderstorm with light rain,22.73,21.0,21.0,21.0,2.1
Kuwait City,KW,29.37,47.98,"3,114,553",2020-04-26 19:08,Clear,clear sky,26.9,33.0,33.0,33.0,8.2
Kochi,IN,9.94,76.26,"3,082,055",2020-04-26 21:42,Mist,mist,27.58,25.0,25.0,25.0,4.6
Lanzhou,CN,36.06,103.79,"3,080,522",2020-04-27 00:11,Clear,clear sky,8.04,12.21,15.0,9.44,1.32
Thrissur,IN,10.52,76.22,"3,068,164",2020-04-26 21:41,Mist,mist,27.58,25.0,25.0,25.0,4.6
Port Harcourt,NG,4.78,7.01,"3,020,232",2020-04-26 17:12,Clouds,broken clouds,37.6,33.0,33.0,33.0,2.6
Guayaquil,EC,-2.17,-79.9,"2,994,218",2020-04-26 11:11,Clouds,broken clouds,30.85,28.16,28.33,28.0,2.1
Sanaa,YE,15.35,44.21,"2,972,988",2020-04-26 19:12,Rain,light rain,19.25,21.35,21.35,21.35,0.27
Lisbon,PT,38.72,-9.13,"2,956,879",2020-04-26 17:09,Clouds,scattered clouds,14.07,16.22,17.78,15.56,3.6
Surabaya,ID,-7.25,112.75,"2,944,403",2020-04-26 23:12,Rain,light rain,30.07,26.48,26.48,26.48,2.16
Guatemala City,GT,14.64,-90.51,"2,934,841",2020-04-26 10:12,Haze,haze,25.36,26.0,26.0,26.0,3.1
Shizuoka,JP,34.98,138.38,"2,922,320",2020-04-27 01:09,Clouds,overcast clouds,15.83,16.21,17.22,15.56,0.89
Zhongshan,CN,21.32,110.58,"2,913,974",2020-04-27 00:10,Clouds,broken clouds,22.84,22.25,22.25,22.25,2.65
Dubai,AE,25.26,55.3,"2,878,344",2020-04-26 20:09,Clouds,few clouds,35.29,35.65,38.0,34.0,4.1
Incheon,KR,37.45,126.42,"2,801,039",2020-04-27 01:12,Clouds,few clouds,5.52,9.43,10.0,9.0,4.1
Coimbatore,IN,11.0,76.97,"2,786,600",2020-04-26 21:42,Clouds,scattered clouds,29.51,27.0,27.0,27.0,3.1
Cali,CO,3.44,-76.52,"2,781,980",2020-04-26 11:08,Haze,haze,29.92,27.0,27.0,27.0,1.0
Ouagadougou,BF,12.36,-1.54,"2,780,331",2020-04-26 16:12,Clear,clear sky,38.54,37.0,38.0,36.0,2.1
